centre,person,sim
brevan_howard,alan_hughes,0.0157480314961
centre_for_management_buy_out_research,alan_hughes,0.0262008733624
digital_city_exchange,alan_hughes,0.025641025641
energy_business_research,alan_hughes,0.0388349514563
enterprise_research_centre,alan_hughes,0.025974025974
ghandi_centre,alan_hughes,0.0352422907489
global_finance_tech,alan_hughes,0.020979020979
health_mgmt,alan_hughes,0.0391459074733
hedge_funds,alan_hughes,0.0198347107438
kpmg,alan_hughes,0.0311004784689
risk_mgmt,alan_hughes,0.020979020979
brevan_howard,anand,0.031914893617
centre_for_management_buy_out_research,anand,0.056338028169
digital_city_exchange,anand,0.0474308300395
energy_business_research,anand,0.0528301886792
enterprise_research_centre,anand,0.0324074074074
ghandi_centre,anand,0.0714285714286
global_finance_tech,anand,0.0445544554455
health_mgmt,anand,0.0562130177515
hedge_funds,anand,0.0333333333333
kpmg,anand,0.0643776824034
risk_mgmt,anand,0.0343137254902
brevan_howard,a_buraschi,0.0192307692308
centre_for_management_buy_out_research,a_buraschi,0.0291262135922
digital_city_exchange,a_buraschi,0.0216606498195
energy_business_research,a_buraschi,0.03125
enterprise_research_centre,a_buraschi,0.0343347639485
ghandi_centre,a_buraschi,0.0291262135922
global_finance_tech,a_buraschi,0.0315315315315
health_mgmt,a_buraschi,0.0245901639344
hedge_funds,a_buraschi,0.0703363914373
kpmg,a_buraschi,0.0259481037924
risk_mgmt,a_buraschi,0.0269058295964
brevan_howard,a_eisingerich,0.0238095238095
centre_for_management_buy_out_research,a_eisingerich,0.0559210526316
digital_city_exchange,a_eisingerich,0.047619047619
energy_business_research,a_eisingerich,0.048951048951
enterprise_research_centre,a_eisingerich,0.0338983050847
ghandi_centre,a_eisingerich,0.0456026058632
global_finance_tech,a_eisingerich,0.0265486725664
health_mgmt,a_eisingerich,0.0588235294118
hedge_funds,a_eisingerich,0.046130952381
kpmg,a_eisingerich,0.0726141078838
risk_mgmt,a_eisingerich,0.0311111111111
brevan_howard,a_kirilenko,0.021645021645
centre_for_management_buy_out_research,a_kirilenko,0.0178571428571
digital_city_exchange,a_kirilenko,0.0199335548173
energy_business_research,a_kirilenko,0.0288461538462
enterprise_research_centre,a_kirilenko,0.023166023166
ghandi_centre,a_kirilenko,0.0395136778116
global_finance_tech,a_kirilenko,0.0454545454545
health_mgmt,a_kirilenko,0.0283505154639
hedge_funds,a_kirilenko,0.0477568740955
kpmg,a_kirilenko,0.0366088631985
risk_mgmt,a_kirilenko,0.0160642570281
brevan_howard,a_leiponen,0.0133333333333
centre_for_management_buy_out_research,a_leiponen,0.032
digital_city_exchange,a_leiponen,0.0420560747664
energy_business_research,a_leiponen,0.0440528634361
enterprise_research_centre,a_leiponen,0.0225988700565
ghandi_centre,a_leiponen,0.0573770491803
global_finance_tech,a_leiponen,0.0119760479042
health_mgmt,a_leiponen,0.0327868852459
hedge_funds,a_leiponen,0.0191082802548
kpmg,a_leiponen,0.0436781609195
risk_mgmt,a_leiponen,0.0242424242424
brevan_howard,a_michaelides,0.0225988700565
