centre,person,sim
brevan_howard,alan_hughes,0.0348684021877
centre_for_management_buy_out_research,alan_hughes,0.0521168030379
digital_city_exchange,alan_hughes,0.0500902437313
energy_business_research,alan_hughes,0.0753243577155
enterprise_research_centre,alan_hughes,0.0515710623129
ghandi_centre,alan_hughes,0.0694890707173
global_finance_tech,alan_hughes,0.0429097175768
health_mgmt,alan_hughes,0.0806299078078
hedge_funds,alan_hughes,0.0541210825353
kpmg,alan_hughes,0.0730406240452
risk_mgmt,alan_hughes,0.0429097175768
brevan_howard,anand,0.0804301106267
centre_for_management_buy_out_research,anand,0.106859186627
digital_city_exchange,anand,0.0924335751994
energy_business_research,anand,0.101353523311
enterprise_research_centre,anand,0.0693920137503
ghandi_centre,anand,0.133573983283
global_finance_tech,anand,0.0989788207983
health_mgmt,anand,0.107083471915
hedge_funds,anand,0.0762909941488
kpmg,anand,0.129600817836
risk_mgmt,anand,0.0769835272876
brevan_howard,a_buraschi,0.0508205470893
centre_for_management_buy_out_research,a_buraschi,0.05697001318
digital_city_exchange,a_buraschi,0.0438037896298
energy_business_research,a_buraschi,0.0617540227194
enterprise_research_centre,a_buraschi,0.0751646028003
ghandi_centre,a_buraschi,0.05697001318
global_finance_tech,a_buraschi,0.0729641848644
health_mgmt,a_buraschi,0.0480754414848
hedge_funds,a_buraschi,0.151189055543
kpmg,a_buraschi,0.05322819861
risk_mgmt,a_buraschi,0.0625407298838
brevan_howard,a_eisingerich,0.0629940788349
centre_for_management_buy_out_research,a_eisingerich,0.106709506764
digital_city_exchange,a_eisingerich,0.094113985932
energy_business_research,a_eisingerich,0.0952579344416
enterprise_research_centre,a_eisingerich,0.07453559925
ghandi_centre,a_eisingerich,0.0878784173347
global_finance_tech,a_eisingerich,0.0620173672946
health_mgmt,a_eisingerich,0.111237302079
hedge_funds,a_eisingerich,0.101035640011
kpmg,a_eisingerich,0.142107448331
risk_mgmt,a_eisingerich,0.072353595177
brevan_howard,a_kirilenko,0.0596125848297
centre_for_management_buy_out_research,a_kirilenko,0.0356404899247
digital_city_exchange,a_kirilenko,0.0411055334855
energy_business_research,a_kirilenko,0.0579500556965
enterprise_research_centre,a_kirilenko,0.0529009211894
ghandi_centre,a_kirilenko,0.0772210615035
global_finance_tech,a_kirilenko,0.107595221669
health_mgmt,a_kirilenko,0.0551394032124
hedge_funds,a_kirilenko,0.101780614064
kpmg,a_kirilenko,0.0730029856
risk_mgmt,a_kirilenko,0.0391255351523
brevan_howard,a_leiponen,0.0312538153959
centre_for_management_buy_out_research,a_leiponen,0.0622855781156
digital_city_exchange,a_leiponen,0.0808158687661
energy_business_research,a_leiponen,0.084394947257
enterprise_research_centre,a_leiponen,0.0462250163521
ghandi_centre,a_leiponen,0.108999761702
global_finance_tech,a_leiponen,0.025641025641
health_mgmt,a_leiponen,0.0657013773321
hedge_funds,a_leiponen,0.0485106921011
kpmg,a_leiponen,0.0956854094572
risk_mgmt,a_leiponen,0.0512820512821
brevan_howard,a_michaelides,0.0559563710393
