centre,person,sim
brevan_howard,alan_hughes,0.034565056491
centre_for_management_buy_out_research,alan_hughes,0.104370715181
digital_city_exchange,alan_hughes,0.101430103242
energy_business_research,alan_hughes,0.0940460821145
enterprise_research_centre,alan_hughes,0.060858061945
ghandi_centre,alan_hughes,0.118469775552
global_finance_tech,alan_hughes,0.0293483635442
health_mgmt,alan_hughes,0.133500313152
hedge_funds,alan_hughes,0.0611132331352
kpmg,alan_hughes,0.0815332650784
risk_mgmt,alan_hughes,0.0567504353839
brevan_howard,anand,0.0912395846692
centre_for_management_buy_out_research,anand,0.110200782773
digital_city_exchange,anand,0.10709591052
energy_business_research,anand,0.0930932096928
enterprise_research_centre,anand,0.0401609664451
ghandi_centre,anand,0.18241913342
global_finance_tech,anand,0.0774693511984
health_mgmt,anand,0.132147691503
hedge_funds,anand,0.0873802734568
kpmg,anand,0.153727947026
risk_mgmt,anand,0.0749005886273
brevan_howard,a_buraschi,0.0303588370359
centre_for_management_buy_out_research,a_buraschi,0.0366679398811
digital_city_exchange,a_buraschi,0.0534522483825
energy_business_research,a_buraschi,0.0413008102782
enterprise_research_centre,a_buraschi,0.0801783725737
ghandi_centre,a_buraschi,0.0520265981714
global_finance_tech,a_buraschi,0.0515539262226
health_mgmt,a_buraschi,0.0732841680061
hedge_funds,a_buraschi,0.107352735615
kpmg,a_buraschi,0.0306906374588
risk_mgmt,a_buraschi,0.024922239314
brevan_howard,a_eisingerich,0.0648658125097
centre_for_management_buy_out_research,a_eisingerich,0.156692149349
digital_city_exchange,a_eisingerich,0.126897831271
energy_business_research,a_eisingerich,0.117659782239
enterprise_research_centre,a_eisingerich,0.0761386987627
ghandi_centre,a_eisingerich,0.111161951247
global_finance_tech,a_eisingerich,0.0367173409677
health_mgmt,a_eisingerich,0.167020437441
hedge_funds,a_eisingerich,0.127429899983
kpmg,a_eisingerich,0.174865998795
risk_mgmt,a_eisingerich,0.0709997026894
brevan_howard,a_kirilenko,0.0554273995474
centre_for_management_buy_out_research,a_kirilenko,0.0334730963502
digital_city_exchange,a_kirilenko,0.0487950036474
energy_business_research,a_kirilenko,0.0188511545272
enterprise_research_centre,a_kirilenko,0.0243975018237
ghandi_centre,a_kirilenko,0.0791559483577
global_finance_tech,a_kirilenko,0.117655201334
health_mgmt,a_kirilenko,0.107038378466
hedge_funds,a_kirilenko,0.122498989388
kpmg,a_kirilenko,0.102727499358
risk_mgmt,a_kirilenko,0.0227507877597
brevan_howard,a_leiponen,0.0308020551817
centre_for_management_buy_out_research,a_leiponen,0.0558048998853
digital_city_exchange,a_leiponen,0.126542767061
energy_business_research,a_leiponen,0.0628556605643
enterprise_research_centre,a_leiponen,0.0271163072273
ghandi_centre,a_leiponen,0.105572301462
global_finance_tech,a_leiponen,0.0261532890483
health_mgmt,a_leiponen,0.0892248797618
hedge_funds,a_leiponen,0.0726133411586
kpmg,a_leiponen,0.0830365324336
risk_mgmt,a_leiponen,0.0505721737424
brevan_howard,a_michaelides,0.0590538595357
centre_for_management_buy_out_research,a_michaelides,0.0534947213716
digital_city_exchange,a_michaelides,0.0346583496607
energy_business_research,a_michaelides,0.0200845329318
enterprise_research_centre,a_michaelides,0.051987524491
ghandi_centre,a_michaelides,0.033733960416
global_finance_tech,a_michaelides,0.0752118315846
health_mgmt,a_michaelides,0.0712760004361
hedge_funds,a_michaelides,0.0783082537334
kpmg,a_michaelides,0.059699276076
risk_mgmt,a_michaelides,0.0242393082782
brevan_howard,a_terwal,0.0547791035665
centre_for_management_buy_out_research,a_terwal,0.148867131055
digital_city_exchange,a_terwal,0.048224282217
energy_business_research,a_terwal,0.0745226624107
enterprise_research_centre,a_terwal,0.0964485644341
ghandi_centre,a_terwal,0.10952216232
global_finance_tech,a_terwal,0.0697674418605
health_mgmt,a_terwal,0.105786424539
hedge_funds,a_terwal,0.0726397220282
kpmg,a_terwal,0.11075560015
risk_mgmt,a_terwal,0.0449693750413
brevan_howard,a_tsoukalas,0.0
centre_for_management_buy_out_research,a_tsoukalas,0.0
digital_city_exchange,a_tsoukalas,0.0
energy_business_research,a_tsoukalas,0.0244338888713
enterprise_research_centre,a_tsoukalas,0.0316227766017
ghandi_centre,a_tsoukalas,0.0205195670417
global_finance_tech,a_tsoukalas,0.0
health_mgmt,a_tsoukalas,0.0
hedge_funds,a_tsoukalas,0.0317553674415
kpmg,a_tsoukalas,0.0121045506534
risk_mgmt,a_tsoukalas,0.0
brevan_howard,a_vernet,0.092747779152
centre_for_management_buy_out_research,a_vernet,0.140028008403
digital_city_exchange,a_vernet,0.122474487139
energy_business_research,a_vernet,0.173492081916
enterprise_research_centre,a_vernet,0.102062072616
ghandi_centre,a_vernet,0.119207912136
global_finance_tech,a_vernet,0.118124884644
health_mgmt,a_vernet,0.167915123565
hedge_funds,a_vernet,0.102490007711
kpmg,a_vernet,0.156269076979
risk_mgmt,a_vernet,0.057104024072
brevan_howard,a_wadhwa,0.0249067740693
centre_for_management_buy_out_research,a_wadhwa,0.135372788459
digital_city_exchange,a_wadhwa,0.0877058019307
energy_business_research,a_wadhwa,0.0508255610679
enterprise_research_centre,a_wadhwa,0.0877058019307
ghandi_centre,a_wadhwa,0.113822078645
global_finance_tech,a_wadhwa,0.0422954934438
health_mgmt,a_wadhwa,0.108221865805
hedge_funds,a_wadhwa,0.102752466548
kpmg,a_wadhwa,0.0923229535614
risk_mgmt,a_wadhwa,0.102232602514
brevan_howard,b_biais,0.0
centre_for_management_buy_out_research,b_biais,0.0
digital_city_exchange,b_biais,0.0
energy_business_research,b_biais,0.0244338888713
enterprise_research_centre,b_biais,0.0316227766017
ghandi_centre,b_biais,0.0205195670417
global_finance_tech,b_biais,0.0
health_mgmt,b_biais,0.0
hedge_funds,b_biais,0.0317553674415
kpmg,b_biais,0.0121045506534
risk_mgmt,b_biais,0.0
brevan_howard,b_clarysse,0.0858677581482
centre_for_management_buy_out_research,b_clarysse,0.168532968124
digital_city_exchange,b_clarysse,0.0629940788349
energy_business_research,b_clarysse,0.102214290557
enterprise_research_centre,b_clarysse,0.188982236505
ghandi_centre,b_clarysse,0.159416228266
global_finance_tech,b_clarysse,0.127589457901
health_mgmt,b_clarysse,0.0932755178713
hedge_funds,b_clarysse,0.113864770998
kpmg,b_clarysse,0.159144757685
risk_mgmt,b_clarysse,0.105736106528
